taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
251,31,27,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
252,31,28,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
253,31,29,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
254,31,30,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
255,31,32,236299,URMA_WRITE,1,0ns,0,,0.0,5.15622,0.001,5.16918,366.6236
256,32,33,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
257,32,34,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
258,32,35,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
259,32,36,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
260,32,37,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
261,32,38,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
262,32,39,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
263,32,31,236299,URMA_WRITE,1,0ns,0,,0.0,5.15622,0.001,5.16918,366.6236
264,33,34,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
265,33,35,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
266,33,36,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
267,33,37,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
268,33,38,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
269,33,39,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
