nodeId,dstNodeId,dstPortId,outPorts,metrics
11,8,2,0,1
11,9,2,1,1
11,10,2,2,1
11,12,3,3,2
11,12,4,4,2
11,12,5,5,2
11,12,6,6,2
11,13,3,3,2
11,13,4,4,2
11,13,5,5,2
11,13,6,6,2
11,14,3,3,2
11,14,4,4,2
11,14,5,5,2
11,14,6,6,2
11,15,3,3,2
11,15,4,4,2
11,15,5,5,2
11,15,6,6,2
12,0,3,3,2
12,0,4,4,2
12,0,5,5,2
12,0,6,6,2
12,1,3,3,2
12,1,4,4,2
12,1,5,5,2
12,1,6,6,2
12,2,3,3,2
12,2,4,4,2
12,2,5,5,2
12,2,6,6,2
12,3,3,3,2
12,3,4,4,2
12,3,5,5,2
12,3,6,6,2
12,4,3,3,2
12,4,4,4,2
12,4,5,5,2
12,4,6,6,2
12,5,3,3,2
12,5,4,4,2
12,5,5,5,2
12,5,6,6,2
12,6,3,3,2
12,6,4,4,2
12,6,5,5,2
12,6,6,6,2
12,7,3,3,2
12,7,4,4,2
12,7,5,5,2
12,7,6,6,2
12,8,3,3,2
12,8,4,4,2
12,8,5,5,2
12,8,6,6,2
12,9,3,3,2
12,9,4,4,2
12,9,5,5,2
12,9,6,6,2
12,10,3,3,2
12,10,4,4,2
12,10,5,5,2
12,10,6,6,2
12,11,3,3,2
12,11,4,4,2
12,11,5,5,2
12,11,6,6,2
12,13,0,0,1
12,14,0,1,1
12,15,0,2,1
13,0,3,3,2
13,0,4,4,2
13,0,5,5,2
13,0,6,6,2
13,1,3,3,2
13,1,4,4,2
13,1,5,5,2
13,1,6,6,2
13,2,3,3,2
13,2,4,4,2
13,2,5,5,2
13,2,6,6,2
13,3,3,3,2
13,3,4,4,2
13,3,5,5,2
13,3,6,6,2
13,4,3,3,2
13,4,4,4,2
13,4,5,5,2
13,4,6,6,2
13,5,3,3,2
13,5,4,4,2
13,5,5,5,2
13,5,6,6,2
13,6,3,3,2
13,6,4,4,2
13,6,5,5,2
13,6,6,6,2
13,7,3,3,2
13,7,4,4,2
13,7,5,5,2
13,7,6,6,2
13,8,3,3,2
13,8,4,4,2
13,8,5,5,2
13,8,6,6,2
13,9,3,3,2
13,9,4,4,2
13,9,5,5,2
13,9,6,6,2
13,10,3,3,2
13,10,4,4,2
13,10,5,5,2
13,10,6,6,2
13,11,3,3,2
13,11,4,4,2
13,11,5,5,2
13,11,6,6,2
13,12,0,0,1
13,14,1,1,1
13,15,1,2,1
14,0,3,3,2
14,0,4,4,2
14,0,5,5,2
14,0,6,6,2
14,1,3,3,2
14,1,4,4,2
14,1,5,5,2
14,1,6,6,2
14,2,3,3,2
14,2,4,4,2
14,2,5,5,2
14,2,6,6,2
14,3,3,3,2
14,3,4,4,2
14,3,5,5,2
14,3,6,6,2
14,4,3,3,2
14,4,4,4,2
14,4,5,5,2
14,4,6,6,2
14,5,3,3,2
14,5,4,4,2
14,5,5,5,2
14,5,6,6,2
14,6,3,3,2
14,6,4,4,2
14,6,5,5,2
14,6,6,6,2
14,7,3,3,2
14,7,4,4,2
14,7,5,5,2
14,7,6,6,2
14,8,3,3,2
14,8,4,4,2
14,8,5,5,2
14,8,6,6,2
14,9,3,3,2
14,9,4,4,2
14,9,5,5,2
14,9,6,6,2
14,10,3,3,2
14,10,4,4,2
14,10,5,5,2
14,10,6,6,2
14,11,3,3,2
14,11,4,4,2
14,11,5,5,2
14,11,6,6,2
14,12,1,0,1
14,13,1,1,1
14,15,2,2,1
15,0,3,3,2
15,0,4,4,2
15,0,5,5,2
15,0,6,6,2
15,1,3,3,2
15,1,4,4,2
15,1,5,5,2
15,1,6,6,2
15,2,3,3,2
15,2,4,4,2
15,2,5,5,2
15,2,6,6,2
15,3,3,3,2
15,3,4,4,2
15,3,5,5,2
15,3,6,6,2
15,4,3,3,2
15,4,4,4,2
15,4,5,5,2
15,4,6,6,2
15,5,3,3,2
15,5,4,4,2
15,5,5,5,2
15,5,6,6,2
15,6,3,3,2
15,6,4,4,2
15,6,5,5,2
15,6,6,6,2
15,7,3,3,2
15,7,4,4,2
15,7,5,5,2
15,7,6,6,2
15,8,3,3,2
15,8,4,4,2
15,8,5,5,2
15,8,6,6,2
15,9,3,3,2
15,9,4,4,2
15,9,5,5,2
15,9,6,6,2
15,10,3,3,2
15,10,4,4,2
15,10,5,5,2
15,10,6,6,2
15,11,3,3,2
15,11,4,4,2
15,11,5,5,2
15,11,6,6,2
15,12,2,0,1
15,13,2,1,1
15,14,2,2,1
16,0,3,0,1
16,1,3,1,1
16,2,3,2,1
16,3,3,3,1
16,4,3,4,1
16,5,3,5,1
16,6,3,6,1
16,7,3,7,1
16,8,3,8,1
16,9,3,9,1
16,10,3,10,1
16,11,3,11,1
16,12,3,12,1
16,13,3,13,1
16,14,3,14,1
16,15,3,15,1
17,0,4,0,1
17,1,4,1,1
17,2,4,2,1
17,3,4,3,1
17,4,4,4,1
17,5,4,5,1
17,6,4,6,1
17,7,4,7,1
17,8,4,8,1
17,9,4,9,1
17,10,4,10,1
17,11,4,11,1
17,12,4,12,1
17,13,4,13,1
17,14,4,14,1
17,15,4,15,1
18,0,5,0,1
18,1,5,1,1
18,2,5,2,1
18,3,5,3,1
18,4,5,4,1
18,5,5,5,1
18,6,5,6,1
18,7,5,7,1
18,8,5,8,1
