taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,sourcePod,destPod,isCrossPod,logicalRound,basePlane,actualPlane,sourcePlanePrevPhase,recvPlanePrevPhase
227,15,2,1558867,URMA_WRITE,6,0ns,227,,3,0,1,0,0,3,,
228,15,3,1468067,URMA_WRITE,5,0ns,228,234 108,3,0,1,1,3,2,234,108
229,15,4,1148316,URMA_WRITE,3,0ns,229,232 214,3,1,1,2,1,0,232,214
230,15,5,1129520,URMA_WRITE,4,0ns,230,225 49,3,1,1,2,2,1,225,49
231,15,6,1168586,URMA_WRITE,6,0ns,231,226 141,3,1,1,2,0,3,226,141
232,15,7,1432231,URMA_WRITE,3,0ns,232,235 187,3,1,1,1,1,0,235,187
233,15,8,1503608,URMA_WRITE,4,0ns,233,,3,2,1,0,2,1,,
234,15,9,1484671,URMA_WRITE,5,0ns,234,,3,2,1,0,3,2,,
235,15,10,1514394,URMA_WRITE,3,0ns,235,,3,2,1,0,1,0,,
236,15,11,1118744,URMA_WRITE,5,0ns,236,228 70,3,2,1,2,3,2,228,70
237,15,12,1253942,URMA_WRITE,7,0ns,237,,3,3,0,,,,,
238,15,13,1365566,URMA_WRITE,7,0ns,238,,3,3,0,,,,,
239,15,14,1550505,URMA_WRITE,7,0ns,239,,3,3,0,,,,,
