taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId
211,14,15,8947849,URMA_WRITE,7,0ns,211,,212,212
212,14,12,8947849,URMA_WRITE,7,0ns,212,,213,213
213,14,0,8947849,URMA_WRITE,7,0ns,213,,214,214
214,14,11,8947849,URMA_WRITE,7,0ns,214,,215,215
215,14,1,8947849,URMA_WRITE,7,0ns,215,,216,216
216,14,10,8947849,URMA_WRITE,7,0ns,216,,217,217
217,14,2,8947849,URMA_WRITE,7,0ns,217,,218,218
218,14,9,8947848,URMA_WRITE,7,0ns,218,,219,219
219,14,3,8947848,URMA_WRITE,7,0ns,219,,220,220
220,14,8,8947848,URMA_WRITE,7,0ns,220,,221,221
221,14,4,8947848,URMA_WRITE,7,0ns,221,,222,222
222,14,7,8947848,URMA_WRITE,7,0ns,222,,223,223
223,14,5,8947848,URMA_WRITE,7,0ns,223,,224,224
224,14,6,8947848,URMA_WRITE,7,0ns,224,,225,225
225,15,14,8947849,URMA_WRITE,7,0ns,225,,226,226
226,15,0,8947849,URMA_WRITE,7,0ns,226,,227,227
227,15,13,8947849,URMA_WRITE,7,0ns,227,,228,228
228,15,1,8947849,URMA_WRITE,7,0ns,228,,229,229
229,15,12,8947849,URMA_WRITE,7,0ns,229,,230,230
230,15,2,8947849,URMA_WRITE,7,0ns,230,,231,231
231,15,11,8947849,URMA_WRITE,7,0ns,231,,232,232
232,15,3,8947849,URMA_WRITE,7,0ns,232,,233,233
233,15,10,8947848,URMA_WRITE,7,0ns,233,,234,234
234,15,4,8947848,URMA_WRITE,7,0ns,234,,235,235
235,15,9,8947848,URMA_WRITE,7,0ns,235,,236,236
236,15,5,8947848,URMA_WRITE,7,0ns,236,,237,237
237,15,8,8947848,URMA_WRITE,7,0ns,237,,238,238
238,15,6,8947848,URMA_WRITE,7,0ns,238,,239,239
239,15,7,8947848,URMA_WRITE,7,0ns,239,,240,240
